Tweet ,Emotion
"""Why does my iPhone have no 3G while my laptop enjoys wifi? So frustrating! #iPhoneNetworkFail #AnnoyedUser #SXSW""",Negative
"""@mention is about to talk about the mistakes building Netflix for the iPhone. Expecting a lot of flaws! #NetflixiPhoneMistakes #SXSW""",Negative
"""Tomlinson of TX Observer points out Apple's data holding as the biggest impediment to success. #AppleDataHolding #NewsApps #SXSW""",Negative
"""Democracy and an informed populace are part of journalism, right? But the iPad doesn't support that. #iPadDemocracyFail #NewsApps #SXSW""",Negative
"""RT @mention iPad design malady: iPad Elbow - I hate the iPad's back button with the heat of a million suns. #iPadDesignFlaws #SXSW #Tapworthy""",Negative
"""RT @mention #SXSW: iPad Design Headaches (Take Two Tablet and Call Me in the Morning) {link}""",Negative
"""Is anyone else's GPS stuck on their iPhone at #SXSW? These geo app updates are a mess. FourSquare/gowalla, anyone?""",Negative
"""Kara Swisher calls Apple the most elegant fascist corporation in America. Quite a title! #AppleFascism #KaraSwisherCritique #SXSW""",Negative
"""My iPad won't display any search results. So much for efficiency. #iPadSearchProblem #OSMPW #SXSW""",Negative
"""Design headaches at #SXSW. The iPad proves challenging with new design pitfalls. #iPadDesignChallenges #SXSWDesign""",Negative
"""Apple's products are overrated. They don't live up to the hype. #AppleOverrated #NotImpressed""",Negative
"""My MacBook feels like a brick to carry around. Heavy and inconvenient. #MacBookWeight #NotPractical""",Negative
"""Apple's latest iPhone camera is worse than cheap Android phones. Disappointed! #iPhoneCameraQuality #Underwhelming""",Negative
"""Apple's 'innovative' features are just gimmicks in disguise. #AppleGimmicks #NotImpressed""",Negative
"""My iPad struggles to handle simple tasks. It's supposed to be top-notch? #iPadPerformanceIssues #NotImpressed""",Negative
"""Apple's laptops are not as durable as they claim. Screen cracked too easily. #MacBookDurability #Fragile""",Negative
"""Apple's software updates always bring new problems. #AppleUpdateFail #Unreliable""",Negative
"""Why does the iPhone still have such a tiny screen? It's impractical! #iPhoneScreenSizeFail #AnnoyedUser""",Negative
"""Just got the latest iPhone, and it's already outdated. Apple releases new ones too quickly! #iPhoneObsolete #RegretfulPurchase""",Negative
"""The iPad's speakers sound worse than a toy. #iPadSpeakerQuality #Unsatisfied""",Negative
"""Apple's customer service is as helpful as a brick wall. No support at all.",Negative
"""Why does my iPhone always lag when I need it most? So frustrating! #iPhoneLag #AnnoyedUser #SXSW""",Negative
"""Spent hours designing an iPad app for #SXSW, but it's getting lost in the crowd. No recognition. #iPadAppObscurity #SXSWDesign""",Negative
"""Just found out that the latest iPhone update messed up my settings. Thanks for nothing, Apple! #iPhoneUpdateFail #UnhappyUser #SXSW""",Negative
"""My iPhone keeps dropping calls at #SXSW. I thought it was supposed to be reliable? #iPhoneCallDrops #Unimpressed""",Negative
"""Just got an iPad, and it's already crashing all the time. What a waste of money. #iPadCrashes #DisappointedUser #SXSW""",Negative
"""Apple's products are overpriced for what they offer. Better alternatives out there. #AppleOverpriced #NotWorthIt""",Negative
"""The iPad's battery drains faster than I can blink. Not impressed! #iPadBatteryDrain #Disappointed""",Negative
"""New iPhone update, same old bugs. Apple never learns. #iPhoneUpdateProblems #AppleBugs""",Negative
"""Apple's 'innovative' features are just gimmicks in disguise. #AppleGimmicks #NotImpressed""",Negative
"""My iPad struggles to handle simple tasks. It's supposed to be top-notch? #iPadPerformanceIssues #NotImpressed""",Negative
"""Apple's laptops are not as durable as they claim. Screen cracked too easily. #MacBookDurability #Fragile""",Negative
"""Apple's software updates always bring new problems. #AppleUpdateFail #Unreliable""",Negative
"""Why does the iPhone still have such a tiny screen? It's impractical! #iPhoneScreenSizeFail #AnnoyedUser""",Negative
"""Just got the latest iPhone, and it's already outdated. Apple releases new ones too quickly! #iPhoneObsolete #RegretfulPurchase""",Negative
"""The iPad's speakers sound worse than a toy. #iPadSpeakerQuality #Unsatisfied""",Negative
"""Apple's customer service is as helpful as a brick wall. No support at all. #AppleSupportFail #FrustratedUser""",Negative
"""Why is the iPhone so fragile? It broke from a minor fall. #iPhoneFragility #NotDurable""",Negative
"""Apple's products are nothing but status symbols. #AppleStatusSymbol #NotImpressed""",Negative
"""My iPad's performance is sluggish at best. #iPadPerformanceIssues #NotSatisfied""",Negative
"""Apple's claims of innovation fall flat. Nothing groundbreaking here. #AppleInnovationFail #Unimpressed""",Negative
"""The iPhone's battery life is laughable. Constantly charging. #iPhoneBatteryLifeFail #UnsatisfiedUser""",Negative
"""Why is it so hard to sync my iPhone with my MacBook? #iPhoneMacSyncIssues #FrustratedUser""",Negative
"""Just got the latest iPad, and it's already outdated. Apple's pace is ridiculous! #iPadObsolete #RegretfulPurchase""",Negative
"""The iPad's camera quality is abysmal. Looks worse than a cheap smartphone. #iPadCameraQuality #UnsatisfiedUser""",Negative
"""Apple's software updates are riddled with bugs. So much for 'reliable' updates. #AppleUpdateBugs #Unreliable""",Negative
"""Why is the iPad so slow at loading web pages? #iPadSlowInternet #FrustratedUser""",Negative
"""Just got a MacBook, and it's already giving me problems. #MacBookIssues #NotImpressed""",Negative
"""Apple's customer service is nonexistent. Good luck getting any help. #AppleCustomerServiceFail #UnsatisfiedUser""",Negative
"""iPad apps are a dime a dozen. Nothing special or unique. #iPadAppAbundance #Unimpressed""",Negative
"""Why does my iPhone always freeze when I need it most? #iPhoneFreeze #AnnoyedUser""",Negative
"""Just got the latest iPhone, and it's already malfunctioning. #iPhoneMalfunction #RegretfulPurchase""",Negative
"""Apple's so-called 'geniuses' are anything but. No solutions offered. #AppleGeniusesFail #Unhelpful""",Negative
"""Why is my MacBook constantly overheating? #MacBookOverheating #NotImpressed""",Negative
"""Apple's 'innovative' design is all looks and no substance. #AppleDesignHype #NotImpressed""",Negative
"""My iPad's battery life is abysmal. Always running low. #iPadBatteryLifeFail #UnsatisfiedUser""",Negative
"""Why is my iPhone always running out of storage? #iPhoneStorageIssues #FrustratedUser""",Negative
"""Just got the latest iPad, and it's already having compatibility issues. #iPadCompatibilityProblems #RegretfulPurchase""",Negative
"""The iPad's screen resolution is disappointing. Not as sharp as expected. #iPadScreenResolution #UnsatisfiedUser""",Negative
"""Why is the iPhone so fragile? A slight drop cracked the screen. #iPhoneFragility #NotDurable""",Negative
"""Apple's products are nothing but overpriced fashion accessories. #AppleOverpriced #FashionOverFunction""",Negative
"""My iPad keeps freezing up. Not what I expected from a premium device. #iPadFreeze #DisappointedUser""",Negative
"""Apple's customer service is nonexistent. Good luck getting any help. #AppleCustomerServiceFail #UnsatisfiedUser""",Negative
"""iPad apps are a dime a dozen. Nothing special or unique. #iPadAppAbundance #Unimpressed""",Negative
"""Why does my iPhone always freeze when I need it most? #iPhoneFreeze #AnnoyedUser""",Negative
"""Just got the latest iPhone, and it's already malfunctioning. #iPhoneMalfunction #RegretfulPurchase""",Negative
"""Apple's so-called 'geniuses' are anything but. No solutions offered. #AppleGeniusesFail #Unhelpful""",Negative
"""Why is my MacBook constantly overheating? #MacBookOverheating #NotImpressed""",Negative
"""Apple's 'innovative' design is all looks and no substance. #AppleDesignHype #NotImpressed""",Negative
"""My iPad's battery life is abysmal. Always running low. #iPadBatteryLifeFail #UnsatisfiedUser""",Negative
"""Why is my iPhone always running out of storage? #iPhoneStorageIssues #FrustratedUser""",Negative
"""Just got the latest iPad, and it's already having compatibility issues. #iPadCompatibilityProblems #RegretfulPurchase""",Negative
"""The iPad's screen resolution is disappointing. Not as sharp as expected. #iPadScreenResolution #UnsatisfiedUser""",Negative
"""Why is the iPhone so fragile? A slight drop cracked the screen. #iPhoneFragility #NotDurable""",Negative
"""Apple's products are nothing but overpriced fashion accessories. #AppleOverpriced #FashionOverFunction""",Negative
"""My iPad keeps freezing up. Not what I expected from a premium device. #iPadFreeze #DisappointedUser""",Negative
"""Apple's customer service is nonexistent. Good luck getting any help. #AppleCustomerServiceFail #UnsatisfiedUser""",Negative
"""iPad apps are a dime a dozen. Nothing special or unique. #iPadAppAbundance #Unimpressed""",Negative
"""Why does my iPhone always freeze when I need it most? #iPhoneFreeze #AnnoyedUser""",Negative
"""Just got the latest iPhone, and it's already malfunctioning. #iPhoneMalfunction #RegretfulPurchase""",Negative
"""Apple's so-called 'geniuses' are anything but. No solutions offered. #AppleGeniusesFail #Unhelpful""",Negative
"""Why is my MacBook constantly overheating? #MacBookOverheating #NotImpressed""",Negative
"""Just witnessed the Apple pop-up shop at #SxSW. What a disappointment! No variety and overpriced. #ApplePopUpFail #SXSW""",Negative
"""The iPad Design Headaches are real. Apple needs to fix these issues ASAP. #iPadDesignHeadaches #NotImpressed #SXSW""",Negative
"""Trying to use this app that's draining my iPhone's geolocation is infuriating. Apple needs to patch this! #AppGeolocationProblem #SXSW""",Negative
"""Why does the Apple pop-up shop at #SXSW suck so much? Limited stock and unhelpful staff. #ApplePopUpShopFail #Disappointed""",Negative
"""#SXSW #enchantment: Seriously, who voluntarily uses Windows over Apple products? #AppleWins #NotSurprised""",Negative
"""Wait, #SXSW doesn't provide iPhone chargers? Are you kidding me? This is ridiculous! #NoiPhoneChargers #NotImpressed""",Negative
"""Just witnessed someone taking a picture with an iPad 2 for the first time. It's as ridiculous as it sounds. #iPad2Photos #NotPractical #SXSW""",Negative
"""No way I'm waiting 4-5 weeks for an iPad 2. The #AppleATXdt pop-up is not worth the time. #NoiPad2 #NotImpressed #SXSW""",Negative
"""Surviving #SXSW with only 1.6 gigs of space left on my iPhone is going to be a real challenge. #LowiPhoneStorage #SXSWStruggles""",Negative
"""Having an iPhone crisis at #SXSW. My phone is stuck on the silver logo screen. Help! #iPhoneLogoIssue #SXSWProblems""",Negative
"""Apple's customer service is terrible. They never have a solution to my problems. #AppleCustomerServiceFail #Unsatisfied""",Negative
"""Why is my MacBook freezing up constantly? It's so frustrating! #MacBookFreeze #NotImpressed""",Negative
"""The latest iPhone update is a disaster. So many bugs and glitches. #iPhoneUpdateFail #Unreliable""",Negative
"""Just got the new MacBook, and it's already overheating. Not what I expected. #MacBookOverheating #NotSatisfied""",Negative
"""The Apple Watch is a useless gadget. It's not worth the hype. #AppleWatchFail #RegretfulPurchase""",Negative
"""Why does my MacBook battery drain so quickly? It's not even a year old. #MacBookBatteryIssues #UnsatisfiedUser""",Negative
"""Apple's 'innovative' features are nothing but gimmicks. They don't add any real value. #AppleGimmicks #NotImpressed""",Negative
"""The new iPad screen quality is subpar. Definitely not worth the price. #iPadScreenQuality #UnsatisfiedUser""",Negative
"""Is it just me, or does the new iPhone camera quality not live up to the hype? #iPhoneCameraQuality #Underwhelming""",Negative
"""Just got an iPad, and it's already crashing all the time. What a disappointment. #iPadCrashes #NotImpressed""",Negative
"""Apple's so-called 'geniuses' couldn't even solve the simplest issue with my MacBook. Useless! #AppleGeniusesFail #Unhelpful""",Negative
"""Andrew K's comparison of Apple ecosystem to predictability and Android to the wild west is on point. #AppleVsAndroid #imaconf #sxsw""",Negative
"""Julian's Angry Birds rage reached new heights as he flung his iPad at a kid in frustration. #iPadAngryBirdsRage #sxsw""",Negative
"""Just can't get this app to load on my iPhone, no matter what I try. Feeling out of touch at #sxsw. #iPhoneAppIssues""",Negative
"""The iPad 2 is not impressing Cashmere of Mashable. Waiting for Apple PR's defense in the session. #iPad2Review #sxsw""",Negative
"""Let's be considerate at #sxsw - put away your iPhone and engage with fellow festgoers. #NoiPhoneDouches #FestivalEtiquette""",Negative
"""Why does everyone in the room have an iPhone despite Microsoft's charity contributions? #AppleAddiction #csr #sxsw""",Negative
"""#Flipboard developers, don't just rely on Apple's app store. Plan a holistic marketing strategy for adoption. #AppStoreMarketing #sxsw""",Negative
"""Dear iPhone, I know #SXSW will be tough on your battery, but please don't correct my curse words. #iPhoneAutoCorrect #SXSWStruggles""",Negative
"""Guy Kawasaki believes Apple's survival is proof of a higher power's existence. #AppleSurvival #GuyKawasaki #sxsw""",Negative
"""Mocking tech-nerds for standing in a 4-hour line for an iPad 2 at #sxsw until I remembered I do the same for horror movies.""",Negative
"""Just witnessed an Apple fanboy praising the iPhone 3G in 2023. Is he serious? #iPhone3G #AppleFanboy #sxsw""",Negative
"""The lack of innovation in Apple's latest products is disappointing. #AppleInnovation #sxsw #NotImpressed""",Negative
"""An iPad is not a substitute for a laptop. It's frustrating to try to get real work done on it. #iPadLimitations #sxsw""",Negative
"""RT @mention Apple fans trying to justify their purchases like... #AppleFans #sxsw {link}""",Negative
"""iPhone users at #sxsw are the reason I hate crowds. Their selfie sticks are like weapons of annoyance.""",Negative
"""I wish I hadn't wasted my money on an iPhone. It's overpriced and underwhelming. #iPhoneRegret #NotImpressed""",Negative
"""Just realized my iPhone is nothing more than an overpriced camera with a calling feature. #iPhoneCamera #sxsw""",Negative
"""Apple's customer service is laughable. They treat their customers like an inconvenience. #AppleCustomerService #NotImpressed""",Negative
"""The iPad's battery life is abysmal. I can't get anything done before it dies. #iPadBatteryLife #sxsw""",Negative
"""Apple's attempt at innovation is laughable. They're just repackaging old ideas. #AppleInnovation #NotImpressed #sxsw""",Negative
"""Just saw someone bragging about their new iPhone, as if it's the best thing in the world. #iPhoneFanboy #sxsw""",Negative
"""Apple is becoming too complacent. Their products are losing their edge. #AppleComplacency #sxsw""",Negative
"""Why do people still fall for Apple's marketing hype? It's all smoke and mirrors. #AppleMarketing #sxsw""",Negative
"""Apple's closed ecosystem is stifling creativity and innovation. #AppleEcosystem #sxsw""",Negative
"""The new iPad is nothing more than an expensive paperweight. #iPadUseless #sxsw""",Negative
"""Apple's latest updates are causing more problems than they're solving. #AppleUpdates #sxsw""",Negative
"""Why do Apple fans defend the company blindly? They can't see the flaws in their precious devices. #AppleFans #sxsw""",Negative
"""Just saw an iPhone user struggle to take a decent photo. The camera quality is laughable. #iPhoneCameraFail #sxsw""",Negative
"""The Apple Watch is a gimmick. It's not worth the money. #AppleWatchGimmick #sxsw""",Negative
"""Apple's customer support is a nightmare. They're unhelpful and dismissive. #AppleSupport #sxsw""",Negative
"""The new iPhone is nothing more than an expensive status symbol. #iPhoneStatusSymbol #sxsw""",Negative
"""Why do people buy into Apple's marketing hype? It's all about appearances, not substance. #AppleMarketing #sxsw""",Negative
"""Just witnessed someone defending Apple's outrageous prices. Are they delusional? #AppleDefenders #sxsw""",Negative
"""The new MacBook is nothing special. It's just another overpriced laptop. #MacBookOverpriced #sxsw""",Negative
"""Apple's products are overrated and overpriced. There are better options out there. #AppleOverrated #sxsw""",Negative
"""Apple's closed ecosystem is a trap. Once you're in, it's hard to escape. #AppleEcosystem #sxsw""",Negative
"""Why do people still fall for Apple's marketing gimmicks? It's all smoke and mirrors. #AppleMarketing #sxsw""",Negative
"""The latest iPhone update is a disaster. So many bugs and glitches. #iPhoneUpdateFail #sxsw""",Negative
"""Just got the new MacBook, and it's already overheating. Not what I expected. #MacBookOverheating #sxsw""",Negative
"""The Apple Watch is a useless gadget. It's not worth the hype. #AppleWatchFail #sxsw""",Negative
"""Why does my MacBook battery drain so quickly? It's not even a year old. #MacBookBatteryIssues #sxsw""",Negative
"""Apple's 'innovative' features are nothing but gimmicks. They don't add any real value. #AppleGimmicks #sxsw""",Negative
"""The new iPad screen quality is subpar. Definitely not worth the price. #iPadScreenQuality #sxsw""",Negative
"""Is it just me, or does the new iPhone camera quality not live up to the hype? #iPhoneCameraQuality #sxsw""",Negative
"""Just got an iPad, and it's already crashing all the time. What a disappointment. #iPadCrashes #sxsw""",Negative
"""Apple's so-called 'geniuses' couldn't even solve the simplest issue with my MacBook. Useless! #AppleGeniusesFail #sxsw""",Negative
"""The latest iPhone update is a mess. It's causing my phone to freeze constantly. #iPhoneFreeze #sxsw""",Negative
"""Apple's customer service is terrible. They never have a solution to my problems. #AppleCustomerServiceFail #sxsw""",Negative
"""Why is my MacBook freezing up constantly? It's so frustrating! #MacBookFreeze #NotImpressed""",Negative
"""The new iPhone is a letdown. Nothing groundbreaking or exciting. #iPhoneDisappointment #sxsw""",Negative
"""Apple's 'innovations' are nothing but rehashed ideas from other companies. #AppleInnovations #sxsw""",Negative
"""Is it just me, or is the new iPad nothing special? It's just another tablet. #iPadOrdinary #sxsw""",Negative
"""Apple's products are overpriced and overrated. There's nothing special about them. #AppleOverrated #sxsw""",Negative
"""Why do people keep falling for Apple's marketing hype? It's all smoke and mirrors. #AppleMarketing #sxsw""",Negative
"""The latest iPhone update is a disaster. It's full of bugs and glitches. #iPhoneUpdateFail #sxsw""",Negative
"""Just got the new MacBook, and it's already overheating. What a disappointment. #MacBookOverheating #sxsw""",Negative
"""Can't believe Nokia said this technology couldn't happen on an iPhone. Is Nokia living in the past? #NokiaVsApple #sxsw""",Negative
"""Data visualization becomes 'satanic' on an iPhone? That's just absurd. #iPhoneDataviz #sxsw""",Negative
"""Just heard someone at #SXSW donated their iPad 2 money to Japan relief. Who needs an iPad 2 anyway? #iPadDonation #sxsw""",Negative
"""Why does the iPhone calendar have to be so frustrating to use? It's ruining my day. #iPhoneCalendar #sxsw""",Negative
"""At #SXSW, the internet blurs, and the iPad fades into insignificance. @mention's insights are spot on. #InternetVsiPad #sxsw""",Negative
"""Saw someone taking photos during a session with an iPad. It's ridiculous and distracting. #iPadPhotography #sxsw""",Negative
"""Everyone at #sxsw is glued to their iPhone, not paying attention to their surroundings. #iPhoneAddiction #sxsw""",Negative
"""Wish Apple would make devices with removable batteries. Always having to plug in is annoying. #AppleBatteryIssues #sxsw""",Negative
"""The iPad alone is not enough for #sxsw. Considering taking my laptop too for practicality. #iPadLimitations #sxsw""",Negative
"""My iPhone stopped working at #SXSW, so I couldn't communicate with my friends. What a fail. #iPhoneFail #sxsw""",Negative
"""Just discovered my iPhone charger is not working. Great timing for #sxsw. #iPhoneChargerFail #sxsw""",Negative
"""Trying to use my iPhone at #sxsw is an exercise in frustration. The signal is terrible. #iPhoneSignalIssues #sxsw""",Negative
"""Apple's closed ecosystem is becoming more of a hindrance than an advantage. #AppleEcosystem #sxsw""",Negative
"""The new iPhone update is causing more problems than it's fixing. #iPhoneUpdateFail #sxsw""",Negative
"""Just dropped my iPhone and the screen shattered. Great start to #sxsw. #iPhoneFail #sxsw""",Negative
"""Why does Apple make it so difficult to customize settings on the iPhone? #iPhoneCustomization #sxsw""",Negative
"""My iPhone battery died just when I needed it the most. Thanks, Apple. #iPhoneBatteryFail #sxsw""",Negative
"""The line for the Apple Store at #sxsw is insane. Not sure I want anything that badly. #AppleStoreLine #sxsw""",Negative
"""Just attended Josh Clark's iPad design headaches session. Not impressed. #iPadDesignHeadaches #sxsw""",Negative
"""Rebecca Black on the iPad? That's just terrible. #RebeccaBlack #iPadFail #sxsw""",Negative
"""The novelty of iPad news apps faded quickly among digital delegates at #SXSW. #iPadNewsApps #sxsw""",Negative
"""The new iPhone autocorrect is causing more problems than it's solving. #iPhoneAutocorrect #sxsw""",Negative
"""Switching to an Android phone at #sxsw because my iPhone is practically useless here. #iPhoneFail #sxsw""",Negative
"""Someone at #SXSW thinks 'Apple is drowning in their success,' which is insane. #AppleSuccess #sxsw""",Negative
"""Trying to navigate through the crowd at #sxsw is impossible when everyone is glued to their iPhone. #iPhoneCrowd #sxsw""",Negative
"""Decided to skip #SXSW because my AT&T iPhone would be as useful as a brick in Austin. #AT&TiPhone #sxsw""",Negative
"""Apple's closed ecosystem is becoming more of a hindrance than a benefit. #AppleEcosystem #sxsw""",Negative
"""Why is it so hard to customize settings on the iPhone? It's frustrating. #iPhoneCustomization #sxsw""",Negative
"""Just witnessed #Apple staff at #sxsw high-fiving the long line of frustrated customers. Terrible customer experience. #LongLinesBadUX""",Negative
"""The dreaded Apple spinning beach ball is haunting me again at the #progressbar talk. Apple's software reliability is a joke. #sxsw""",Negative
"""Apple's smugness reaches new heights as they sell iPad 2 at #SXSW. Prepare for a day of unbearable arrogance. #AppleArrogance""",Negative
"""Seeing someone panhandling for an iPad 2 at SXSW makes me question society's priorities. #iPadObsession #AppleCraze #SXSW""",Negative
"""Skipping #SXSW because my AT&T iPhone would be as useful as a brick in Austin. #AT&TiPhone #AustinNoService""",Negative
"""Apple is a more selfish brand than Microsoft but it has served its brand well. #sxsw""",Negative
"""Once again, the line at the Apple store is insane. Why do people still fall for the hype? #AppleHype #SXSW""",Negative
"""Who needs to take photos during a session with their iPad? Ridiculous and distracting behavior at #SXSW. #iPadPhotographers""",Negative
"""#Apple is a classy fascist company. Elegant on the surface, but their control over users is concerning. #AppleFascism #SXSW""",Negative
"""I bet the iPhone alarms will botch the time change at #SXSW, causing chaos and missed appointments. #iPhoneAlarmFail #TimeChangeWoes""",Negative
"""Apple's products at #SXSW are overpriced, overhyped, and underwhelming. Nothing to get excited about. #AppleOverrated #SXSWProducts""",Negative
"""Just read that #apple will be at #SXSW selling iPad 2 on release day. Good lord, the vortex of smugness that day may be unbearable.""",Negative
"""Horrible repressed memories of the Apple spinning beach ball coming back at the #progressbar talk. #sxsw""",Negative
"""Man panhandling for an iPad 2 at SXSW. What's the world coming to? #iPad #apple #tablet #SXSW""",Negative
"""Decided to go to LA instead of #SXSW, because my AT&T iPhone would be about as useful as a brick in Austin.""",Negative
"""Apple's closed ecosystem is suffocating. They want to control every aspect of your tech life. #AppleClosedEcosystem #TechControl""",Negative
"""Apple's relentless pursuit of profits trumps customer satisfaction at #SXSW. Money over users. #AppleProfitOverPeople #SXSWMoneyGrab""",Negative
"""My Apple devices consistently fail at #SXSW due to their flimsy build quality. #AppleBuildQualityFail #SXSWDevices""",Negative
"""At #SXSW, Apple's inflated ego is on full display. They believe their products are beyond criticism. #AppleEgo #SXSWApple""",Negative
"""Watching an Apple staff member facepalm while dealing with customers is a testament to their incompetence. #AppleCustomerService #SXSWFail""",Negative
"""The Apple store at #SXSW is like a cult gathering. People blindly following, oblivious to the reality. #AppleCult #SXSWAppleStore""",Negative
"""Can't believe people are willing to panhandle for an iPad 2. Apple's marketing has turned gadgets into status symbols. #iPadStatusSymbol #SXSW""",Negative
"""At #SXSW, the Apple staff's ignorance about their own products is astounding. They can't answer basic questions. #AppleStaffIgnorance #SXSWClueless""",Negative
"""Apple's marketing tactics at #SXSW are manipulative and deceitful. Don't fall for their slick ads. #AppleMarketingManipulation #SXSWDeceit""",Negative
"""My experience with Apple support at #SXSW was a disaster. Incompetent and unhelpful. #AppleSupportFail #SXSWSupportNightmare""",Negative
"""The lack of backward compatibility with Apple's products is frustrating and wasteful. #AppleNoBackwardCompatibility #SXSWWaste""",Negative
"""Apple's obsession with thinness sacrifices battery life and functionality. #AppleThinnessObsession #SXSWBatterySacrifice""",Negative
"""Watching people blindly defend Apple's mistakes at #SXSW is like witnessing a cult in action. #AppleCultDefenders #SXSWBlindLoyalty""",Negative
"""Apple's closed ecosystem is like a walled garden, restricting user freedom and choice. #AppleWalledGarden #SXSWClosedEcosystem""",Negative
"""The iPad 2 frenzy at #SXSW showcases the worst of consumerism. People obsessing over a device they don't really need. #iPadFrenzy #SXSWConsumerism""",Negative
"""Apple's lack of support for industry standards is a deliberate move to keep users locked in. #AppleNoIndustryStandards #SXSWLockIn""",Negative
"""The overhyping of Apple products at #SXSW is getting tiresome. People should see through the marketing facade. #AppleOverhyping #SXSWTiresome""",Negative
"""Apple's products at #SXSW are overrated and overpriced. There are better options out there. #AppleOverrated #SXSWOverpriced""",Negative
"""Apple's 'innovations' at #SXSW are just gimmicks with no real value. Time to step up their game. #AppleGimmicks #SXSWInnovations""",Negative
"""At #SXSW, Apple's closed ecosystem is a hindrance to innovation and progress. #AppleClosedEcosystem #SXSWInnovationHindrance""",Negative
"""Apple's relentless pursuit of profit comes at the expense of customer satisfaction. #AppleProfitOverPeople #SXSWCustomerDissatisfaction""",Negative
"""Skipping #SXSW this year because I don't want to be surrounded by Apple fanatics. #AppleFanatics #SXSWAvoidance""",Negative
